,study_sid,study_name,output_pk,subset_pk,subset_name,intervention_pk,group_pk,individual_pk,normed,tissue,tissue_label,method,method_label,label,time,time_unit,measurement_type,measurement_type_label,choice,choice_label,substance,substance_label,value,mean,median,min,max,sd,se,cv,unit
75,PKDB00115,Yue1991a,"[106729, 106730, 106731, 106732, 106733, 106734, 106735, 106736]",1967,2_PM_H_morphine,[1900],,6005,TRUE,plasma,plasma,,,2_PM_H_morphine,"[0.45631233, 0.53895557, 0.8829643, 1.5859388, 1.8969917, 2.9901133, 4.047744, 5.0204496]",hr,concentration,concentration,,,mor,morphine,"[1.0978065549538e-06, 1.4289246915549e-06, 1.8882985005172098e-06, 1.3905418060289201e-06, 9.9369399020007e-07, 8.354172821451501e-07, 4.3966556255708e-07, 2.0279754991314e-07]",,,,,,,,gram / liter
77,PKDB00114,Yue1991,"[104383, 104384, 104385, 104386, 104387, 104388, 104389, 104390, 104391, 104392, 104393, 104394]",1938,P1_em_codeine,[1872],,5941,TRUE,plasma,plasma,,,P1_em_codeine,"[0.15151516, 0.4040404, 0.65656567, 1.060606, 1.4141414, 1.919192, 3.030303, 4.090909, 4.949495, 6.919192, 8.939394, 10.909091]",hr,concentration,concentration,,,cod,codeine,"[2.26933762258648e-05, 8.910130258434599e-05, 0.00013500044141224, 0.00012596793496058, 9.5490300410684e-05, 5.7798180233876005e-05, 3.81472315955e-05, 3.26432848671532e-05, 2.517745724902e-05, 2.0454379284694e-05, 1.3975675479005001e-05, 1.00580931752486e-05]",,,,,,,,gram / liter
78,PKDB00115,Yue1991a,"[106685, 106686, 106687, 106688, 106689, 106690, 106691, 106692]",1975,1_EM_H_morphine-3-glucuronide,[1900],,6004,TRUE,plasma,plasma,,,1_EM_H_morphine-3-glucuronide,"[0.5362319, 0.5797101, 0.92753625, 1.3623189, 1.9275362, 2.9710145, 3.8405797, 4.927536]",hr,concentration,concentration,,,m3g,morphine-3-glucuronide,"[8.0038066545516e-07, 1.7004714124682402e-06, 2.3053514790444e-06, 2.5887303250755e-06, 2.4429353917908e-06, 1.9943442228546e-06, 1.7504782741794e-06, 1.1009260288848001e-06]",,,,,,,,gram / liter
79,PKDB00114,Yue1991,"[104353, 104354, 104355, 104356, 104357, 104358, 104359, 104360]",1939,P1_em_morphine,[1872],,5941,TRUE,plasma,plasma,,,P1_em_morphine,"[0.45454547, 0.7070707, 1.060606, 1.4646465, 1.969697, 3.131313, 4.141414, 5.050505]",hr,concentration,concentration,,,mor,morphine,"[2.4416869156991e-06, 4.3987477215872e-06, 3.0054919545585e-06, 1.9161382436294997e-06, 8.7918637329895e-07, 9.422282855277799e-07, 4.3232493635310994e-07, 3.2210003859259996e-07]",,,,,,,,gram / liter
80,PKDB00114,Yue1991,"[104361, 104362, 104363, 104364, 104365, 104366, 104367, 104368, 104369, 104370]",1934,P1_em_normorphine,[1872],,5941,TRUE,plasma,plasma,,,P1_em_normorphine,"[0.4040404, 0.65656567, 1.3636364, 2.020202, 4.090909, 5.0, 6.919192, 8.989899, 10.909091, 23.939394]",hr,concentration,concentration,,,nmor,normorphine,"[1.0652559411808002e-06, 4.482436170208001e-06, 6.79149283648e-06, 4.640360373920001e-06, 3.5176364543280003e-06, 3.902687192688001e-06, 3.116157503056e-06, 3.0101059832480002e-06, 2.531592737536e-06, 8.216219162544001e-07]",,,,,,,,gram / liter
82,PKDB00114,Yue1991,"[104266, 104267, 104268, 104269, 104270, 104271, 104272, 104273, 104274, 104275, 104276, 104277, 104278]",1935,all_codeine,[1872],953,,TRUE,plasma,plasma,,,all_codeine,"[0.1774576, 0.35353017, 0.52735204, 0.6997023, 1.0156634, 1.528184, 2.0275757, 3.0258396, 4.0120997, 5.0108542, 7.0086803, 9.007084, 11.018212]",hr,concentration,concentration,,,cod,codeine,,"[1.3430760787597002e-05, 4.3554371725035996e-05, 8.334648087293e-05, 0.00011296985273534801, 0.000117605923488586, 0.000101290080637656, 8.783103142998002e-05, 5.8471803569432e-05, 5.101831454616601e-05, 3.810231199729e-05, 2.2893244039717002e-05, 1.5747104756486e-05, 9.7866629481148e-06]",,,,"[nan, 3.4357262861648e-05, 6.1770021700154e-05, 4.4378650094241996e-05, 5.0691211259394e-05, 2.5320694037794e-05, 2.5731760001740003e-05, 1.6115903489034e-05, 1.539436990691e-05, 1.2857779205618002e-05, 5.530880824785e-06, 5.031303344646e-06, 2.4468508937864e-06]","[nan, 1.2147126776240013e-05, 2.1839000609109543e-05, 1.5690222210771766e-05, 1.7922049614038683e-05, 8.95221722923696e-06, 9.097550994547561e-06, 5.69783232102194e-06, 5.44273167663509e-06, 4.545911433645934e-06, 1.955461668570059e-06, 1.7788343566028716e-06, 8.65092429774364e-07]","[nan, 0.7888361489530729, 0.7411233330214451, 0.3928362215201509, 0.4310260040967556, 0.2499819713676946, 0.29296889246090296, 0.2756183751010393, 0.3017420321280856, 0.33745404233035786, 0.2415944553419163, 0.3195065646955628, 0.25001891929441955]",gram / liter
83,7983238,Band1994,"[104902, 104903, 104904, 104905, 104906, 104907, 104908, 104909, 104910, 104911, 104912, 104913, 104914, 104915, 104916, 104917, 104918, 104919, 104920]",1947,COD_SRC_1,[1893],963,,TRUE,plasma,plasma,,,COD_SRC_1,"[0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 4.5, 5.0, 5.5, 6.0, 7.0, 8.0, 8.5, 9.0, 9.5, 10.0, 11.0, 12.0]",hr,concentration,concentration,,,cod,codeine,,"[0.0, 4.713752000000001e-05, 0.00011495356000000002, 0.00015785759000000002, 0.00017197798000000004, 0.00018862468000000005, 0.00015801505000000003, 0.00015280779000000004, 0.00013815146000000002, 0.00011489970000000002, 9.809279000000001e-05, 8.166157500000001e-05, 5.792775700000001e-05, 5.271910500000001e-05, 4.407531700000001e-05, 4.358912000000001e-05, 3.5376278e-05, 2.7965933000000003e-05, 2.1416101000000006e-05]",,,,"[nan, 5.884904500000001e-05, 7.560346e-05, 8.419339000000001e-05, 5.6274420000000006e-05, 6.185462000000001e-05, 6.056869000000001e-05, 7.689353000000001e-05, 5.842085000000001e-05, 6.700939000000001e-05, 4.596208000000001e-05, 3.2216005000000005e-05, 3.3937027000000004e-05, 2.6203475000000006e-05, 2.6634413000000003e-05, 2.6633040000000007e-05, 1.7186748000000004e-05, 1.4607977000000002e-05, 1.2031966000000003e-05]","[nan, 1.6321788404583672e-05, 2.0968627048653134e-05, 2.3351044976933626e-05, 1.5607715908230482e-05, 1.7155384925718494e-05, 1.679873211405254e-05, 2.1326428089725275e-05, 1.6203028479322342e-05, 1.8585060890966456e-05, 1.2747587397459844e-05, 8.935112147546483e-06, 9.412437768100452e-06, 7.267536362141445e-06, 7.387057058721898e-06, 7.38667625703719e-06, 4.766746244036783e-06, 4.051523854176818e-06, 3.3370669505876435e-06]","[nan, 1.2484544159302398, 0.6576869824649189, 0.5333502810982989, 0.3272187520751203, 0.3279243204017629, 0.3833096277854546, 0.5032042541810204, 0.4228753717115983, 0.583198998778935, 0.46855716918644075, 0.3945062901370688, 0.585850872838042, 0.4970394508783865, 0.6042931693491846, 0.6110020115111294, 0.48582691486085683, 0.5223489951148779, 0.5618186989312387]",gram / liter
85,PKDB00115,Yue1991a,"[106745, 106746, 106747, 106748, 106749, 106750, 106751]",1974,2_PM_H_codeine,[1900],,6005,TRUE,plasma,plasma,,,2_PM_H_codeine,"[0.3181511, 0.39724523, 0.739733, 1.7900119, 2.8002367, 4.8559237, 6.955467]",hr,concentration,concentration,,,cod,codeine,"[2.1820587684233998e-05, 3.4860628795738e-05, 5.029595471885e-05, 4.0464918212826e-05, 2.6521740214552002e-05, 1.84687124123966e-05, 1.2675120342802799e-05]",,,,,,,,gram / liter
86,PKDB00094,Kim2002,"[114875, 114876, 114877, 114878, 114879, 114880, 114881, 114882]",2030,saliva_COD_low_codeine,[1970],1004,,TRUE,saliva,saliva,,,saliva_COD_low_codeine,"[0.25826445, 0.7231405, 1.1363636, 2.1694214, 4.0805783, 8.057851, 11.570248, 23.76033]",hr,concentration,concentration,,,cod,codeine,,"[4.1580043e-06, 0.00017463616999999998, 0.00042411642, 0.00045738046, 0.00027858627, 8.731808499999999e-05, 3.3264034e-05, 1.6632017e-05]",,,,"[nan, nan, 0.0002899891776277895, 0.00032623782483126313, 0.00034436208304951585, nan, nan, nan]","[nan, nan, 6.652808e-05, 7.484409e-05, 7.900208e-05, nan, nan, nan]","[nan, nan, 0.6837489989842636, 0.7132745129323258, 1.2361057242681623, nan, nan, nan]",gram / liter
87,PKDB00094,Kim2002,"[114899, 114900, 114901, 114902, 114903, 114904, 114905, 114906, 114907]",2025,plasma_COD_high_norcodeine,[1972],1008,,TRUE,plasma,plasma,,,plasma_COD_high_norcodeine,"[0.15603253, 0.35906935, 0.50170296, 0.9678556, 2.06138, 3.989095, 8.15324, 12.053946, 23.802742]",hr,concentration,concentration,,,ncod,norcodeine,,"[0.0, 7.3510737e-06, 2.7894913e-05, 3.0403257e-05, 2.723727e-05, 2.006849e-05, 1.0576435e-05, 6.5941257e-06, 2.8312624e-06]",,,,"[nan, 9.030190784295554e-06, 2.2881574743208494e-05, 1.8066645853377103e-05, 1.023580672701727e-05, 9.033950292610481e-06, nan, nan, nan]","[nan, 2.5045243e-06, 6.3462069999999995e-06, 5.010786e-06, 2.838902e-06, 2.505567e-06, nan, nan, nan]","[nan, 1.2284179363207248, 0.8202776880217728, 0.594233895841393, 0.3758014928448141, 0.4501559555607064, nan, nan, nan]",gram / liter
88,PKDB00094,Kim2002,"[114869, 114870, 114871, 114872, 114873, 114874]",2027,plasma_COD_high_codeine,[1972],1007,,TRUE,plasma,plasma,,,plasma_COD_high_codeine,"[0.0, 0.5, 1.0, 2.0, 4.0, 8.0]",hr,concentration,concentration,,,cod,codeine,,"[0.0, 0.00032556159999999997, 0.00040354842999999995, 0.00031477545, 0.00017890007, 5.4631022999999995e-05]",,,,,,,gram / liter
91,PKDB00115,Yue1991a,"[106718, 106719, 106720, 106721, 106722, 106723, 106724, 106725, 106726, 106727, 106728]",1966,2_PM_H_morphine-6-glucuronide,[1900],,6005,TRUE,plasma,plasma,,,2_PM_H_morphine-6-glucuronide,"[0.53895557, 0.5673483, 0.8578672, 1.3752747, 1.8561771, 2.9115262, 3.8745985, 4.9332433, 6.989437, 9.270999, 11.10943]",hr,concentration,concentration,,,m6g,morphine-6-glucuronide,"[2.3109254761266004e-06, 5.561452243167e-06, 1.3004690331318e-05, 1.8227768787708e-05, 1.6957410598488e-05, 1.0180833913328401e-05, 8.189455044000599e-06, 4.0648984005174e-06, 2.748983318016e-06, 1.21661371765974e-06, 8.104650824629201e-07]",,,,,,,,gram / liter
93,PKDB00106,Shord2009,"[102079, 102080, 102081, 102082, 102083, 102084]",1904,Group2,[1824],941,,TRUE,plasma,plasma,,,Group2,"[0.0, 30.0, 60.0, 120.0, 240.0, 360.0]",min,concentration,concentration,,,cod,codeine,,"[7.873765000000001e-08, 3.9754105000000007e-05, 5.4867912e-05, 5.0358460000000006e-05, 2.5200634000000004e-05, 1.4077986000000001e-05]",,,,,,,gram / liter
94,PKDB00091,Chen1991,"[101925, 101926, 101927, 101928, 101929, 101930, 101931, 101932, 101933, 101934, 101935, 101936]",1902,COD_codeine-6-glucuronide,[1808],936,,TRUE,plasma,plasma,,,COD_codeine-6-glucuronide,"[0.25, 0.5, 0.8, 1.0, 1.3, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0, 12.0]",hr,concentration,concentration,,,c6g,codeine-6-glucuronide,,"[0.00032518651676, 0.0009549756574440001, 0.001153007066276, 0.001134909977772, 0.0012928149205280002, 0.001084104042232, 0.00111378402816, 0.0008651558986840001, 0.0006529168964600001, 0.00044624586340000005, 0.000273543721636, 0.00012315625048400002]",,,,"[0.00027025334190800004, 0.000491693044672, 0.000543383388636, 0.00038412330394000006, 0.000388065102776, 0.00031460214497600004, 0.00042015581489200003, 0.000318415561944, 0.00026682982542800004, 0.000249755036984, 0.000143697349364, 5.8019094568000005e-05]","[9.554898535073669e-05, 0.0001738397430749156, 0.0001921150394443204, 0.00013580809651387766, 0.00013720173285738206, 0.00011122865504418148, 0.00014854751293254652, 0.00011257690154296379, 9.433858949148074e-05, 8.830174014344169e-05, 5.080468508690841e-05, 2.051284760366819e-05]","[0.8310717941219478, 0.5148749508317524, 0.4712749856694531, 0.33846147400527066, 0.300170655995763, 0.29019552803094767, 0.3772327527322405, 0.36804414375298844, 0.40867348796562647, 0.5596803409696324, 0.5253176658728641, 0.47110150187251454]",gram / liter
95,PKDB00091,Chen1991,"[101913, 101914, 101915, 101916, 101917, 101918, 101919, 101920, 101921, 101922, 101923, 101924]",1903,COD_codeine,[1808],936,,TRUE,plasma,plasma,,,COD_codeine,"[0.25, 0.5, 0.8, 1.0, 1.3, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0, 12.0]",hr,concentration,concentration,,,cod,codeine,,"[2.234753753e-05, 3.9399322362e-05, 4.8260502682000004e-05, 4.7518079466e-05, 4.456036117e-05, 4.158168738e-05, 3.6205106347999996e-05, 2.9107181166000002e-05, 2.2185880861999998e-05, 1.4408398946000001e-05, 1.0163414590000001e-05, 4.792820842e-06]",,,,"[2.0087337819999997e-05, 2.3428242292e-05, 1.3872537028000001e-05, 9.079716186e-06, 9.289271126e-06, 6.523145917999999e-06, 6.089067828e-06, 2.661347738e-06, 3.858804538e-06, 2.26019971e-06, 1.035800132e-06, 8.052896979999999e-07]","[7.101946394253498e-06, 8.28313449797733e-06, 4.9046825023801375e-06, 3.2101644431849277e-06, 3.284253302737498e-06, 2.306280356643573e-06, 2.1528105761418206e-06, 9.409285163176395e-07, 1.3642934280466113e-06, 7.991012708884341e-07, 3.6621064864556046e-07, 2.8471290313773344e-07]","[0.8988613529805758, 0.594635665982828, 0.28745115067303517, 0.19107919107919108, 0.20846489754786696, 0.15687544996400288, 0.1681825698693567, 0.09143268538516917, 0.17393064363783567, 0.1568668190317889, 0.10191458026509571, 0.1680199875078076]",gram / liter
96,PKDB00094,Kim2002,"[114908, 114909, 114910, 114911, 114912, 114913]",2023,saliva_COD_low_norcodeine,[1970],1005,,TRUE,saliva,saliva,,,saliva_COD_low_norcodeine,"[0.0, 0.9814706, 2.071213, 4.044636, 8.101266, 12.055675]",hr,concentration,concentration,,,ncod,norcodeine,,"[0.0, 9.359416e-06, 1.2038941e-05, 1.4557354999999999e-05, 1.0576087999999999e-05, 3.921892e-06]",,,,"[nan, 1.3772376736405665e-05, 1.032642111700007e-05, 1.7214036079749372e-05, 1.3079459974281238e-05, nan]","[nan, 3.340292e-06, 2.504525e-06, 4.1750170000000005e-06, 3.172235e-06, nan]","[nan, 1.4714995824959234, 0.8577516176049098, 1.1824975127521018, 1.2367011294044867, nan]",gram / liter
97,PKDB00094,Kim2002,"[114914, 114915, 114916, 114917, 114918, 114919, 114920]",2028,saliva_COD_high_norcodeine,[1972],1008,,TRUE,saliva,saliva,,,saliva_COD_high_norcodeine,"[0.052190937, 0.25771302, 0.5118602, 1.0244768, 2.0492778, 4.088074, 8.047994]",hr,concentration,concentration,,,ncod,norcodeine,,"[2.2284123e-07, 2.896936e-06, 1.2033426e-05, 2.3175488e-05, 4.5905292999999997e-05, 2.8077995e-05, 1.270195e-05]",,,,"[nan, nan, 1.8666317535960993e-05, 2.167721966176781e-05, 6.744162027447739e-05, 3.1310838031410905e-05, 1.2645775227293777e-05]","[nan, nan, 5.1771049999999995e-06, 6.012179e-06, 1.870494e-05, 8.684063999999999e-06, 3.507307e-06]","[nan, nan, 1.5512055781920289, 0.9353511633398102, 1.4691469298426523, 1.1151379587969477, 0.9955774686007879]",gram / liter
98,PKDB00094,Kim2002,"[114861, 114862, 114863, 114864, 114865, 114866, 114867, 114868]",2029,plasma_COD_low_codeine,[1970],1006,,TRUE,plasma,plasma,,,plasma_COD_low_codeine,"[0.0, 0.5, 1.0, 2.0, 4.0, 8.0, 12.0, 24.0]",hr,concentration,concentration,,,cod,codeine,,"[1.5475114999999998e-08, 7.522066499999999e-05, 0.00018380567999999999, 0.00012839703, 6.2070686e-05, 1.2906246e-05, 2.5456564e-06, 0.0]",,,,,,,gram / liter
99,PKDB00115,Yue1991a,"[106752, 106753, 106754, 106755, 106756, 106757, 106758, 106759, 106760, 106761]",1971,2_PM_H_morphine-3-glucuronide,[1900],,6005,TRUE,plasma,plasma,,,2_PM_H_morphine-3-glucuronide,"[0.40434343, 0.95977694, 1.4356092, 1.7443806, 2.841051, 3.9336658, 4.8579516, 6.953946, 9.230437, 11.0229845]",hr,concentration,concentration,,,m3g,morphine-3-glucuronide,"[3.5669792724702e-05, 6.899299682098801e-05, 8.6010771237534e-05, 7.011747770599201e-05, 4.8027702811758e-05, 4.157715442584e-05, 2.5323503067369e-05, 2.1331653146868e-05, 1.26510601559712e-05, 9.6133854129516e-06]",,,,,,,,gram / liter
101,PKDB00115,Yue1991a,"[106737, 106738, 106739, 106740, 106741, 106742, 106743, 106744]",1973,2_PM_H_normorphine,[1900],,6005,TRUE,plasma,plasma,,,2_PM_H_normorphine,"[0.52932227, 0.8604022, 1.2961805, 1.780125, 2.923441, 3.928849, 4.9408484, 7.043688]",hr,concentration,concentration,,,nmor,normorphine,"[2.3694661822560003e-06, 6.604993781616001e-06, 6.70807660552e-06, 5.235413790048001e-06, 3.0087106256320005e-06, 2.604170868032e-06, 1.5406366999344001e-06, 8.741512023296002e-07]",,,,,,,,gram / liter
102,PKDB00094,Kim2002,"[114891, 114892, 114893, 114894, 114895, 114896, 114897, 114898]",2024,plasma_COD_low_norcodeine,[1970],1008,,TRUE,plasma,plasma,,,plasma_COD_low_norcodeine,"[0.103841595, 0.36036602, 0.61894345, 2.07305, 4.049498, 8.104723, 12.055026, 23.801338]",hr,concentration,concentration,,,ncod,norcodeine,,"[1.6770906999999997e-07, 5.346898e-06, 7.352809999999999e-06, 9.199693e-06, 7.041697e-06, 5.23162e-06, 4.923979799999999e-06, 5.0024524e-06]",,,,"[nan, nan, nan, nan, nan, nan, nan, 1.0235803121465994e-05]","[nan, nan, nan, nan, nan, nan, nan, 2.838901e-06]","[nan, nan, nan, nan, nan, nan, nan, 2.046157025195481]",gram / liter
104,PKDB00094,Kim2002,"[114883, 114884, 114885, 114886, 114887, 114888, 114889, 114890]",2026,saliva_COD_high_codeine,[1972],1005,,TRUE,saliva,saliva,,,saliva_COD_high_codeine,"[0.15495868, 0.6714876, 1.1363636, 2.2210743, 4.132231, 8.109504, 11.570248, 23.811983]",hr,concentration,concentration,,,cod,codeine,,"[0.0, 0.00041995844, 0.001056133, 0.0014220374999999999, 0.0005862785599999999, 0.00011642411999999999, 7.484408e-05, 1.6632017e-05]",,,,"[nan, 0.00039430933078665693, 0.000805762864613082, 0.0010457770892915374, 0.0004457412802090616, nan, nan, nan]","[nan, 9.563406e-05, 0.0001954262, 0.0002536382, 0.00010810814, nan, nan, nan]","[nan, 0.9389246487977643, 0.7629369261381682, 0.7354075327067939, 0.7602892389738108, nan, nan, nan]",gram / liter
106,PKDB00081,Knop2007,"[171635, 171636, 171637, 171638, 171639, 171640, 171641, 171642, 171643, 171644, 171645, 171646, 171647, 171648, 171649, 171650, 171651, 171652, 171653, 171654]",3923,glu_control_ogtt,[2596],1333,,TRUE,plasma,plasma,,,glu_control_ogtt,"[-15.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 60.0, 70.0, 90.0, 120.0, 150.0, 180.0, 240.0]",min,concentration,concentration,,,glucagon,glucagon,,"[7.390817000000002e-09, 7.663694400000002e-09, 7.479512000000001e-09, nan, nan, 6.997867000000002e-09, nan, nan, 6.561997000000002e-09, nan, nan, 5.509914000000002e-09, nan, 5.0510826000000015e-09, nan, 4.863504000000001e-09, 5.2919416000000016e-09, 5.9939460000000016e-09, 7.152517300000002e-09, 7.598600400000002e-09]",,,,"[2.3079504029419706e-09, 3.4630162739779476e-09, 2.4536374834292226e-09, nan, nan, 2.596833005348038e-09, nan, nan, 1.9477037318955887e-09, nan, nan, 1.3705586497326162e-09, nan, 1.5871433629053179e-09, nan, 1.7314301868446506e-09, 1.6595968361995639e-09, 2.3802495570864e-09, 1.9481695353949345e-09, 1.7314305030724168e-09]","[7.298380000000002e-10, 1.0951019000000003e-09, 7.759082999999992e-10, nan, nan, 8.211907000000013e-10, nan, nan, 6.159180000000002e-10, nan, nan, 4.334086999999991e-10, nan, 5.018988000000001e-10, nan, 5.475263000000001e-10, 5.248106000000002e-10, 7.527010000000001e-10, 6.160653000000012e-10, 5.475264000000002e-10]","[0.3122727031317336, 0.4518729601193318, 0.3280478035771882, nan, nan, 0.37108921980769816, nan, nan, 0.29681569983887346, nan, nan, 0.24874410920617196, nan, 0.31421845346685034, nan, 0.35600468033842475, 0.31360830516337584, 0.39710894243731915, 0.27237536851465344, 0.22786176557888427]",gram / liter
107,PKDB00081,Knop2007,"[171795, 171796, 171797, 171798, 171799, 171800, 171801, 171802, 171803, 171804, 171805, 171806, 171807, 171808, 171809, 171810, 171811, 171812, 171813, 171814]",3932,igip_control_ogtt,[2596],1333,,TRUE,plasma,plasma,,,igip_control_ogtt,"[-15.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 60.0, 70.0, 90.0, 120.0, 150.0, 180.0, 240.0]",min,concentration,concentration,,,gip,gastric inhibitory polypeptide (GIP),,"[1.0389072000000003e-11, 1.3032067000000002e-11, 1.3613498000000002e-11, nan, nan, 4.791581300000001e-11, nan, nan, 4.535619700000001e-11, nan, nan, 4.309006000000001e-11, nan, 3.915727600000001e-11, nan, 2.9331577e-11, 1.5388488000000004e-11, 1.0268835000000002e-11, 1.2501832000000003e-11, 1.0595771e-11]",,,,"[8.059277754453412e-12, 8.371317399937123e-12, 6.199806628920778e-12, nan, nan, 9.91875899927456e-12, nan, nan, 1.3948395662906902e-11, nan, nan, 1.7982734633419917e-11, nan, 1.3949736468634813e-11, nan, 1.3641727462256753e-11, 8.681343939462371e-12, 7.1285359549356295e-12, 6.5105035713099814e-12, 6.5078156352988376e-12]","[2.5485674000000004e-12, 2.6472430000000005e-12, 1.9605510000000003e-12, nan, nan, 3.1365870000000008e-12, nan, nan, 4.4108700000000006e-12, nan, nan, 5.686640000000001e-12, nan, 4.4112940000000006e-12, nan, 4.313893000000001e-12, 2.7452820000000005e-12, 2.2542410000000005e-12, 2.0588020000000004e-12, 2.057952e-12]","[0.7757456830074341, 0.6423629804801588, 0.45541613396650715, nan, nan, 0.2070038757199958, nan, nan, 0.3075300969988048, nan, nan, 0.4173290692428813, nan, 0.35624889914801044, nan, 0.4650867378271803, 0.5641453493977036, 0.6941913035836712, 0.5207639625384487, 0.6141899098516603]",mole / liter
108,PKDB00081,Knop2007,"[171395, 171396, 171397, 171398, 171399, 171400, 171401, 171402, 171403, 171404, 171405, 171406, 171407, 171408, 171409, 171410, 171411, 171412, 171413, 171414]",3933,glc_control_ogtt,[2596],1333,,TRUE,plasma,plasma,,,glc_control_ogtt,"[-15.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 60.0, 70.0, 90.0, 120.0, 150.0, 180.0, 240.0]",min,concentration,concentration,,,glucose,D-glucose,,"[0.9845853931936801, 0.96203041748532, 0.976698294876396, 0.939245526842904, 1.0957499484021, 1.289564724771648, 1.4386311766224, 1.5429273789837599, 1.62483272764344, 1.73659963403664, 1.6991360386347598, 1.7288329338939603, 1.6018833907137602, 1.53444870280332, 1.3551154145514002, 1.1009093966182442, 0.8762800559255641, 0.7784360823596401, 0.7850524872085201, 0.865402424047044]",,,,"[0.18872206632589722, 0.21234724740530378, 0.21234724740530378, 0.16509699918707366, 0.14154149277413144, 0.11805520526532194, 0.18868731444810172, 0.14161048379709826, 0.21231232461663443, 0.18882632195928165, 0.2122433905639591, 0.2831526032444364, 0.25949284119810934, 0.16516599021004041, 0.28304851852192525, 0.4482495454612186, 0.18868725747781082, 0.1651318080351601, 0.18875670426310928, 0.21231249552750878]","[0.059679157432319996, 0.067150095666804, 0.067150095666804, 0.052208255229012006, 0.044759350058651996, 0.037332333827712, 0.059668167923639825, 0.044781166935720006, 0.06713905211136001, 0.05971212595835982, 0.06711725324988001, 0.08954071516584018, 0.08205884146944019, 0.05223007210608, 0.089507800686564, 0.1417489523792642, 0.059668149908052005, 0.05221926275328, 0.05969011090982399, 0.06713910615812399]","[0.19167668709134836, 0.2207282052061977, 0.2174133491573024, 0.17577618893966518, 0.12917316855048658, 0.09154655287754307, 0.13115753190550158, 0.09178039467442024, 0.1306671886924382, 0.1087333650533855, 0.12491253539327829, 0.1637825134477707, 0.16199234145407154, 0.10763865218061368, 0.20887410436226655, 0.4071629752985526, 0.21532757273416583, 0.2121327772148011, 0.24043832398300913, 0.24533383502051212]",gram / liter
109,PKDB00081,Knop2007,"[172030, 172031, 172032, 172015, 172016, 172017, 172018, 172019, 172020, 172021, 172022, 172023, 172024, 172025, 172026, 172027, 172028, 172029, 172033, 172034]",3936,iglp1_t2dm_isoglc,[2594],1332,,TRUE,plasma,plasma,,,iglp1_t2dm_isoglc,"[90.0, 120.0, 150.0, -15.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 60.0, 70.0, 180.0, 240.0]",min,concentration,concentration,,,glp-1,glucagon-like peptide-1 (GLP-1),,"[nan, 1.3093289000000002e-12, nan, 1.8461539000000004e-12, 2.1734860000000004e-12, 1.9770868e-12, nan, nan, 1.8199673000000004e-12, nan, nan, 1.7937807000000003e-12, nan, nan, nan, nan, 1.7283143000000004e-12, nan, nan, 1.1783961000000003e-12]",,,,"[nan, 1.2421388701809475e-12, nan, 1.3663518717612973e-12, 1.3663525042168294e-12, 1.2421382377254154e-12, nan, nan, 1.9460166567638885e-12, nan, nan, 1.531970472112828e-12, nan, nan, nan, nan, 1.531970788340594e-12, nan, nan, 1.4905661382527115e-12]","[nan, 3.9279880000000007e-13, nan, 4.3207840000000005e-13, 4.3207860000000006e-13, 3.9279860000000005e-13, nan, nan, 6.153845000000001e-13, nan, nan, 4.844516e-13, nan, nan, nan, nan, 4.844517000000001e-13, nan, nan, 4.713584000000001e-13]","[nan, 0.9486836120251736, nan, 0.7401072422842413, 0.62864564308987, 0.6282669216775992, nan, nan, 1.0692591327129273, nan, nan, 0.8540455765372142, nan, nan, nan, nan, 0.8863959456567556, nan, nan, 1.264910956725596]",mole / liter
